"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"54435","SN 2020cxe","20:09:38.752","+62:33:30.80","SN Ia","0.053","","","ZTF","ZTF","ZTF","ZTF","ZTF20aanaibf","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.28","g-ZTF","2020-02-15 13:31:55.000","ZTF_AMPEL_COMPLETE","",""
"54431","SN 2020cxa","17:13:16.891","+54:49:39.71","SN Ia","0.075","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aanvsds","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.13","r-ZTF","2020-02-19 12:45:25.000","ZTF_AMPEL_NEW","",""
"54427","SN 2020cww","13:14:14.848","+19:56:39.51","SN Ia","0.11","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1; ZTF","ZTF20aansmsj","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.28","g-ZTF","2020-02-19 10:34:14.000","ZTF_AMPEL_COMPLETE","",""
"54416","SN 2020cwl","15:42:10.650","+02:41:07.01","SN Ia","0.056","","","GaiaAlerts, Pan-STARRS1","GaiaAlerts, Pan-STARRS1","ePESSTO+","GaiaAlerts; Pan-STARRS1","Gaia20awl","Gaia - Gaia-photometric, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.26","G-Gaia","2020-02-18 18:51:50.000","Gaia_Bot1","",""
"54401","SN 2020cvw","07:57:55.910","+30:01:36.98","SN Ia","0.051066","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aaoojli","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.54","r-ZTF","2020-02-19 03:54:18.000","ZTF_AMPEL_NEW","",""
"54398","SN 2020cvt","07:40:41.263","+72:58:32.14","SN Ia","0.09","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aannodx","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.48","r-ZTF","2020-02-19 03:44:22.000","ZTF_AMPEL_NEW","",""
"54393","SN 2020cvo","07:15:40.730","+30:46:09.91","SN Ia","0.03","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","SCAT, ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aaomtwl","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM, UH88 - SNIFS","1","1","","19.39","r-ZTF","2020-02-19 03:19:26.000","ZTF_AMPEL_NEW","",""
"54392","SN 2020cvn","07:13:37.200","+42:46:52.25","SN Ia","0.04","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20aanyxvu","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.68","g-ZTF","2020-02-16 03:49:37.000","ZTF_AMPEL_NEW","",""
"54384","SN 2020cvg","12:14:37.085","+24:18:15.74","SN Ia","0.021","UGC 7248","0.0465","GOTO, ATLAS, Pan-STARRS1","GOTO, ATLAS, Pan-STARRS1","None","ATLAS; GOTO; Pan-STARRS1","GOTO20hm","ATLAS1 - ACAM1, GOTO-N - GOTO-1, PS1 - GPC1","LT - SPRAT","1","1","","18.4","L-GOTO","2020-02-06 02:35:20.000","Kennedy","",""
"54355","SN 2020cue","18:22:49.600","+47:49:55.13","SN Ia","0.06","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aamifit","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.69","r-ZTF","2020-02-07 13:22:04.000","ZTF_Bot1","",""
"54340","SN 2020ctr","08:58:37.616","+20:11:30.61","SN Ia","0.03","","","ZTF","ZTF","UCSC","ZTF","ZTF19aaklqod","P48 - ZTF-Cam","Lick-3m - KAST","1","1","","18.17","g-ZTF","2020-02-15 07:07:41.000","ZTF_AMPEL_NEW","",""
"54335","SN 2020ctm","05:20:46.850","-09:01:20.78","SN Ia","0.045","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF20aanbvqg","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.54","g-ZTF","2020-02-14 04:26:36.000","ZTF_AMPEL_NEW","",""
"54334","SN 2020ctl","02:58:39.641","+40:53:04.88","SN Ia","0.065","","","ZTF","ZTF","ZTF","ZTF","ZTF20aanbfbf","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.31","g-ZTF","2020-02-14 03:48:33.000","ZTF_AMPEL_NEW","",""
"54320","SN 2020csx","16:41:41.060","+68:30:55.87","SN Ia","0.026","WISEA J164142.05+683048.3","0.025794","SGLF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None, ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aaodkvl","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM","1","1","","19.262","r-ZTF","2020-02-13 12:23:29.000","Perez-Fournon","",""
"54296","SN 2020crz","14:53:56.439","+04:46:19.44","SN Ia","0.13","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF20aaodnmm","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.45","r-ZTF","2020-02-16 12:09:44.000","ZTF_AMPEL_NEW","",""
"54260","SN 2020cqp","14:32:21.070","-03:40:13.12","SN Ia","0.077","","","GaiaAlerts, ZTF, ATLAS, Pan-STARRS1","GaiaAlerts, ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","Gaia20ava","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.98","G-Gaia","2020-02-14 06:44:38.000","Gaia_Bot1","",""
"54240","SN 2020cpv","13:02:29.463","+28:12:15.65","SN Ia","0.1","SDSS J130229.44+281216.0","0.081","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aansktb","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.1244","g-ZTF","2020-02-15 08:52:39.000","ALeRCE","",""
"54238","SN 2020cpt","14:57:30.247","+08:23:24.02","SN Ia","0.03705","CGCG 076-111","0.036962","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF, ePESSTO+","ATLAS; Pan-STARRS1; ZTF","ZTF20aanvpzo","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.0469","r-ZTF","2020-02-15 12:35:03.000","ALeRCE","",""
"54235","SN 2020cpq","16:19:15.190","+15:07:10.20","SN Ia","0.08164","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aanvqhk","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.36","r-ZTF","2020-02-15 12:38:18.000","ZTF_AMPEL_NEW","",""
"54232","SN 2020cpn","07:11:31.288","+58:57:05.68","SN Ia","0.080155","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS20fqo","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.24","orange-ATLAS","2020-02-15 07:36:28.000","ATLAS_Bot1","",""
